GEO_ID,NAME,S1401_C01_010E
08001,"Adams County",23962
08003,"Alamosa County",1785
08005,"Arapahoe County",38026
08007,"Archuleta County",311
08009,"Baca County",100
08011,"Bent County",108
08013,"Boulder County",43788
08014,"Broomfield County",3946
08015,"Chaffee County",357
08017,"Cheyenne County",31
08019,"Clear Creek County",224
08021,"Conejos County",300
08023,"Costilla County",77
08025,"Crowley County",305
08027,"Custer County",65
08029,"Delta County",705
08031,"Denver County",49926
08033,"Dolores County",23
08035,"Douglas County",17585
08037,"Eagle County",2093
08039,"Elbert County",1206
08041,"El Paso County",56229
08043,"Fremont County",1246
08045,"Garfield County",2221
08047,"Gilpin County",210
08049,"Grand County",291
08051,"Gunnison County",2532
08053,"Hinsdale County",11
08055,"Huerfano County",262
08057,"Jackson County",45
08059,"Jefferson County",33909
08061,"Kiowa County",37
08063,"Kit Carson County",206
08065,"Lake County",540
08067,"La Plata County",4097
08069,"Larimer County",40600
08071,"Las Animas County",643
08073,"Lincoln County",46
08075,"Logan County",1426
08077,"Mesa County",9546
08079,"Mineral County",20
08081,"Moffat County",354
08083,"Montezuma County",723
08085,"Montrose County",1215
08087,"Morgan County",892
08089,"Otero County",894
08091,"Ouray County",87
08093,"Park County",678
08095,"Phillips County",75
08097,"Pitkin County",720
08099,"Prowers County",668
08101,"Pueblo County",9810
08103,"Rio Blanco County",490
08105,"Rio Grande County",500
08107,"Routt County",1220
08109,"Saguache County",207
08111,"San Juan County",21
08113,"San Miguel County",206
08115,"Sedgwick County",49
08117,"Summit County",1261
08119,"Teller County",1114
08121,"Washington County",94
08123,"Weld County",20110
08125,"Yuma County",279
